Pidgin,Grammatical Type,Script,True Transcription,Skyhawk Orthography,English Translation,set,pack
nuTrjsr,compound noun,nuTrjsr,n'tsurch-sur,nᵘṣurč-sur,speaker (sound maker),,
nuTy,compound noun,nuTy,n'tsee,nᵘṣē,greatness,,
nuTyksr,compound noun,nuTyksr,n'tseek-sur,nᵘṣēk-sur,"precedent, prefix",,
nuTyksrJw,compound noun,nuTyksrJw,n'tseek-sur-jooh,nᵘṣēk-sur-jü,suffix,,
nuvw,compound noun,nuvw,n'vooh,nᵘvü,making-contact,,
nuvy Rw,compound noun,nuvy Rw,n'vee rooh,nᵘvē rü,"idea, thought",,
nuWer,compound noun,nuWP,n'wair,nᵘwār,"motion, movement",,
nuWey,compound noun,nuWF,n'way,nᵘwā,advertisement,,
nuWoysr,compound noun,nuWZsr,n'wii-sur,nᵘwī-sur,shapeshifter,,
nuWu,compound noun,nuWu,n'wuh,nᵘwu,left-hand direction,,
nuWuj,compound noun,nuWuj,n'wuhch,nᵘwuč,right-hand direction,,
nuWuXr,compound noun,nuWuXr,n'wuh-zhur,nᵘwu-žur,center,,
nuX,noun,nuX,nuhzh,nuž,"employee, staff",,
nuxeT,compound noun,nuxeT,n'shehts,nᵘšeṣ,tolerance,,
nuXgws,compound noun,nuXgs,n'zhohws,nᵘžōs,parasite,,
nuXolf,compound noun,nuXOf,n'zhallf,nᵘžolf,warning,,
nuXorz,compound noun,nuXSz,n'zharz,nᵘžarz,"condolences, sympathy",,
nuXr,compound noun,nuXr,n'zhur,nᵘžur,absence,,
nuXrs,compound noun,nuXrs,n'zhurs,nᵘžurs,"brightness, illumination",physics,science
nuxrs,compound noun,nuxrs,n'shurs,nᵘšurs,pressure,physics,science
nuxrsr,compound noun,nuxrsr,n'shur-sur,nᵘšur-sur,"contacts, glasses (vision)",bathroom,home
nuXrssr,compound noun,nuXrssr,n'zhurs-sur,nᵘ-žurs-sur,light source,physics,science
nuxrTsr,compound noun,nuxrTsr,n'shurts-sur,nᵘšurṣ-sur,calculator,,
nuxu,compound noun,nuxu,n'shuh,nᵘšu,phrase,,
nuXy,compound noun,nuXy,n'zhee,nᵘžē,excellence,,
nuxy,compound noun,nuxy,n'shee,nᵘšē,top-side,,
nuxyj,compound noun,nuxyj,n'sheech,nᵘšēč,bottom-side,,
nuYawz,compound noun,nuYCz,n'yauwz,nᵘyowz,goodbye (the parting),,
nuYernsr,compound noun,nuYPnsr,n'yairn-sur,nᵘyārn-sur,"filter, shade (covering)",,
nuYgyx,compound noun,nuYBx,n'yoish,nᵘyoiš,spin,,
nuYif,compound noun,nuYif,n'yihf,nᵘyif,sexual intercourse,,
nuYixyWujzy,compound noun,nuYixyWujzy,n'yih-shee-wuhch-zee,nᵘyi-šē-wuč-zē,clockwise,,
nuYixyWuzy,compound noun,nuYixyWuzy,n'yih-shee-wuh-zee,nᵘyi-šē-wu-zē,counter-clockwise,,
nuzolfsr,compound noun,nuzOfsr,n'zallf-sur,nᵘzolf-sur,"balance, scale",,
nuzolm,compound noun,nuzOm,n'zallm,nᵘzolm,empathy,,
nw,preposition,nw,nooh,nü,controlling,preposition,grammar
nwj,preposition,nwj,noohch,nüč,controlled-by,preposition,grammar
nwk,noun,nwk,noohk,nük,mosquito,,
nwn,verb,nwn,noohn,nün,age,,
nwN,noun,nwN,noohng,nüŋ,salts (chemical),,
nwp,noun,nwp,noohp,nüp,June,,
nwv,noun,nwv,noohv,nüv,herringbone (pattern),,
nwX,noun,nwX,noohzh,nüž,paint,,
nwx,verb,nwx,noohsh,nüš,"peel, skin",,
ny,noun suffix,ny,nee,nē,naturally,noun suffix,grammar
Ny,noun,Ny,ngee,ŋē,villain,,
NyD,noun,NyD,ngeedz,ŋēẓ,Sunday,,
nyf,noun,nyf,neef,nēf,output,,
nyj,noun,nyj,neech,nēč,sensibility,,
Nyj,noun,Nyj,ngeech,ŋēč,victim,,
nyN,verb,nyN,neeng,nēŋ,intersect,,
NyN,noun,NyN,ngeeng,ŋēŋ,rhyme,,
Nyq,verb,Nyq,ngeeth,ŋēθ,"collect, gather",,
nyq,noun,nyq,neeth,nēθ,house,,
nyQ,noun,nyQ,needth,nēð,oak,,
pa,noun,pa,pa,pa,sheep,,
paf,noun,paf,paf,paf,"humidity, water vapor",,
paH,noun,paH,pakhh,paħ,adrenal gland,anatomy,science
pak,verb,pak,pak,pak,"hit, strike",,
pal,noun,pA,pal,pal,surprise (event),,
palj,verb,pAj,palch,palč,blackmail,,
palT,noun,pAT,palts,palṣ,flatulence,,
pam,noun,pam,pam,pam,nest,,
paN,noun,paN,pang,paŋ,hippopotamus,,
paQ,noun,paQ,padth,pað,brunch,food,
paw,verb,pC,pauw,pow,communicate,,
pawJ,noun,pCJ,pauwj,powj,unicorn,,
pawk,noun,pCk,pauwk,powk,contact (social),,
pawn,noun,pCn,pauwn,pown,imp,,
pax,verb,pax,pash,paš,"make-permanent, solidify",,
pcj,noun,pcj,puoch,pøč,lamprey,,
pcn,noun,pcn,puon,pøn,fat (substance),,
pcv,noun,pcv,puov,pøv,"abuse, damage",,
pe,noun,pe,peh,pe,"meter, readout",,
pelj,noun,pEj,pelch,pelč,virtue,,
peln,verb,pEn,peln,peln,scan,,
pelT,noun,pET,pelts,pelṣ,pit,,
pelX,noun,pEX,pelzh,pelž,jealousy,,
peN,noun,peN,pehng,peŋ,female-bias (attract to females),,
peq,noun,peq,pehth,peθ,female,,
per,noun,pP,pair,pār,direction,,
per su Dirs,compound noun,pP su DVs,pair s'dzeers,pār sᵘẓērs,dorsal-area,,
per su krz,compound noun,pP su krz,pair s'kurz,pār sᵘkurz,anterior-area,biology,science
per su pum,compound noun,pP su pum,pair s'puhm,pār sᵘpum,posterior-area,,
per su Tux,compound noun,pP su Tux,pair s'tsuhsh,pār sᵘṣuš,ventral-area,,
perf,noun,pPf,pairf,pārf,signature,,
perH,noun,pPH,pairkhh,pārħ,demon,,
perJ,noun,pPJ,pairj,pārj,"balm, salve",,
perm,noun,pPm,pairm,pārm,sea lion,,
pers,noun,pPs,pairs,pārs,vitamin,,
perz,noun,pPz,pairz,pārz,detergent,,
peT,noun,peT,pehts,peṣ,bridge (across something),,
peym,noun,pFm,paym,pām,hyrax,,
peyn,noun,pFn,payn,pān,keyhole,,
peyN,noun,pFN,payng,pāŋ,"letter, symbol (symbolic)",,
peys,noun,pFs,pays,pās,nail polish,,
peyz,noun,pFz,payz,pāz,"dollar, monetary unit",,
pez,noun,pez,pehz,pez,money,,
pgl,noun,pG,pohl,pōl,trigger,,
pglD,noun,pGD,pohldz,pōlẓ,energy (spiritual),,
pglm,verb,pGm,pohlm,pōlm,"attribute, blame",,
pglp,verb,pGp,pohlp,pōlp,punish,,
pglq,noun,pGq,pohlth,pōlθ,crystal,,
pglQ,noun,pGQ,pohldth,pōlð,pain,,
pglz,noun,pGz,pohlz,pōlz,gnome,,
pgr,verb,pb,poar,pōr,"pile, stack",,
pgrH,noun,pbH,poarkhh,pōrħ,"hoard, stash",,
pgrm,verb,pbm,poarm,pōrm,admonish,,
pgrp,noun,pbp,poarp,pōrp,pancreas,,
pgrq,noun,pbq,poarth,pōrθ,marmot,,
pgrx,noun,pbx,poarsh,pōrš,paintbrush,,
pgw,noun,pg,pohw,pō,"androgyny, intergender",sexuality,social
pgwD,noun,pgD,pohwdz,pōẓ,carbon,chemistry,science
pgwH,noun,pgH,pohwkhh,pōħ,androgyne-femme,sexuality,social
pgwN,noun,pgN,pohwng,pōŋ,camouflage,,
pgwn,noun,pgn,pohwn,pōn,"course, path",,
pgwp,noun,pgp,pohwp,pōp,Pope,,
pgwq,verb,pgq,pohwth,pōθ,"crop, trim",,
pgwQ,verb,pgQ,pohwdth,pōð,release,,
pgwz,noun,pgz,pohwz,pōz,"coat, jacket",,
pgy,noun,pB,poi,poi,dictionary,,
pgyf,noun,pBf,poif,poif,religion,,
pgyfHr,compound noun,pBfHr,poif-khhur,poif-ħur,agnosticism,religion,religion
pgyfJw,compound noun,pBfJw,poif-jooh,poif-jü,atheism,religion,religion
pgyj,noun,pBj,poich,poič,bean,food,
pgyJ,verb,pBJ,poij,poij,"describe, illustrate",,
pgyX,noun,pBX,poizh,poiž,clarity,,
pgyz,noun,pBz,poiz,poiz,family,,
pil,noun,pI,pil,pil,squatting,,
pilk,noun,pIk,pilk,pilk,May,,
piln,noun,pIn,piln,piln,indoors,,
pilq,noun,pIq,pilth,pilθ,burp,,
pilQ,noun,pIQ,pildth,pilð,penguin,,
pils,noun,pIs,pils,pils,shelf,,
pilx,noun,pIx,pilsh,pilš,line,,
pip,noun,pip,pihp,pip,encyclopedia,,
piQ,noun,piQ,pihdth,pið,magnetism,,
piq,noun,piq,pihth,piθ,tact,,
pir,verb,pV,peer,pēr,"detect, perceive, sense",,
pirp,noun,pVp,peerp,pērp,"noodle, pasta",,
pirT,noun,pVT,peerts,pērṣ,"determination, resolve",,
pirx,noun,pVx,peersh,pērš,"t-shirt, undershirt",,
piT,noun,piT,pihts,piṣ,"hatch, lid",,
piv,noun,piv,pihv,piv,ability,description,
pix,verb,pix,pihsh,piš,"break-free-of, hatch-from",,
piX,noun,piX,pihzh,piž,spectrum,,
po,noun,po,po,po,project,,
pof,verb,pof,pof,pof,access,,
poH,noun,poH,pokhh,poħ,momentum,,
pol,noun,pO,pall,pol,hammer,,
polv,verb,pOv,pallv,polv,catch,,
pon,noun,pon,pon,pon,he-femme,,
porn,noun,pSn,parn,parn,vinegar,,
porp,noun,pSp,parp,parp,species,,
porx,noun,pSx,parsh,parš,condor,,
pox,noun,pox,posh,poš,virus,,
poy,verb,pZ,pii,pī,remain,,
poyf,noun,pZf,piif,pīf,peanut-butter,,
poyj,noun,pZj,piich,pīč,acceptance,,
poyJ,noun,pZJ,piij,pīj,devastation,,
poyk,noun,pZk,piik,pīk,sourness,,
poym,verb,pZm,piim,pīm,dare,,
poyn,noun,pZn,piin,pīn,sign,,
poyq,noun,pZq,piith,pīθ,ash,,
pr,noun,pr,pur,pur,purr (contentment expression),,
prj,noun,prj,purch,purč,notepad,,
prk,verb,prk,purk,purk,"print, write",,
prm,noun,prm,purm,purm,light (visible),physics,science
prp,noun,prp,purp,purp,"flat-pan, tray",,
prq,noun,prq,purth,purθ,July,,
prx,verb,prx,pursh,purš,express-feeling,,
prX,noun,prX,purzh,purž,"jewelry, ornament",,
prz,noun,prz,purz,purz,dinosaur,,
pu,verb prefix,pu,puh,pu,past,verb prefix,grammar
puD,noun,puD,puhdz,puẓ,"esteem, honor",,
puj,noun,puj,puhch,puč,sink,,
puk,verb prefix,puk,puhk,puk,past-ceasing,verb prefix,grammar
pul,numerical term,pU,pul,pul,seven,numerical,mathematics
pulD,verb,pUD,puldz,pulẓ,"moisten, wet",,
pulx,verb,pUx,pulsh,pulš,wash,bathroom,
pulz,noun,pUz,pulz,pulz,bicycle,,
pum,noun,pum,puhm,pum,butt,,
puN,verb prefix,puN,puhng,puŋ,past-again,verb prefix,grammar
pun,verb,pun,puhn,pun,"beg, plead",,
puQ,verb,puQ,puhdth,puð,prove,,
pus,noun,pus,puhs,pus,"organ, piano",,
puT,verb prefix,puT,puhts,puṣ,past-repeatedly,verb prefix,grammar
puX,numerical term,puX,puhzh,puž,fourteen,numerical,mathematics
pux,verb prefix,pux,puhsh,puš,past-continuously,verb prefix,grammar
puz,verb prefix,puz,puhz,puz,past-beginning,verb prefix,grammar
pw,preposition,pw,pooh,pü,to-target,preposition,grammar
pwf,noun,pwf,poohf,püf,"church, temple",,
pwH,noun,pwH,poohkhh,püħ,"dock, port",,
pwj,preposition,pwj,poohch,püč,from-source,preposition,grammar
pwlw,compound preposition,pwlw,pooh-looh,pü-lü,into,,
pwq,noun,pwq,poohth,püθ,"curtain, drapery",,
pwQ,noun,pwQ,poohdth,püð,"espionage, infiltration",,
pws,noun,pws,poohs,püs,statue,,
pwT,noun,pwT,poohts,püṣ,mannequin,,
pwX,noun,pwX,poohzh,püž,gum (chewing),,
pwx,verb,pwx,poohsh,püš,move (an object),,
py,noun suffix,py,pee,pē,only,noun suffix,grammar
pyf,noun,pyf,peef,pēf,edge,,
pyj,noun,pyj,peech,pēč,nonsense,,
pyp,noun,pyp,peep,pēp,"beep, peep",,
pyq,noun,pyq,peeth,pēθ,blood vessel,anatomy,science
pyv,noun,pyv,peev,pēv,razor,,
qaf,noun,qaf,thaf,θaf,chocolate,,
qaH,noun,qaH,thakhh,θaħ,parallelogram,,
qal,noun,qA,thal,θal,hook,,
Qal,noun,QA,dthal,ðal,Wednesday,,
qalD,noun,qAD,thaldz,θalẓ,gibbon,,
qalj,verb,qAj,thalch,θalč,unlock,,
qalv,noun,qAv,thalv,θalv,keyboard,,
qalz,noun,qAz,thalz,θalz,glacier,,
Qap,noun,Qap,dthap,ðap,breakfast,food,
qaq,noun,qaq,thath,θaθ,coral (animal or material),,
qaQ,noun,qaQ,thadth,θað,"ethnicity, race",,
Qaw,preposition,QC,dthauw,ðow,similar-to,preposition,grammar
qaw,noun,qC,thauw,θow,jay,,
Qawj,preposition,QCj,dthauwch,ðowč,different-than,preposition,grammar
qawj,noun,qCj,thauwch,θowč,gravy,,
QawJy,compound preposition,QCJy,dthauw-jee,ðow-jē,identical-to,,
Qawk,noun,QCk,dthauwk,ðowk,brow,,
Qawkel,compound preposition,QCkE,dthauw-kel,ðow-kel,defined-to,,
qawN,noun,qCN,thauwng,θowŋ,mutant,,
Qawp,noun,QCp,dthauwp,ðowp,caffeine,chemistry,science
qawp,noun,qCp,thauwp,θowp,marsupial,,
qaws,noun,qCs,thauws,θows,throat,,
qawx,noun,qCx,thauwsh,θowš,cotton,,
qawz,noun,qCz,thauwz,θowz,"alien, stranger",,
qaz,verb,qaz,thaz,θaz,"board, enter",,
qc,noun,qc,thuo,θø,lunch,,
Qcj,noun,Qcj,dthuoch,ðøč,pen,,
qck,noun,qck,thuok,θøk,pigeon,,
Qcq,noun,Qcq,dthuoth,ðøθ,bowl,,
qcT,verb,qcT,thuots,θøṣ,approve-of,,
qcX,verb,qcX,thuozh,θøž,"piston, thrust",,
qe,noun,qe,theh,θe,time,,
QeD,noun,QeD,dthehdz,ðeẓ,eel,,
QeJ,verb,QeJ,dthehj,ðej,"allocate, set-aside",,
qek,verb,qek,thehk,θek,"rub, stroke",,
qel,noun,qE,thel,θel,"danger, hazard",,
Qel,noun,QE,dthel,ðel,"lecture, speech",,
qelf,noun,qEf,thelf,θelf,resource,,
Qelf,noun,QEf,dthelf,ðelf,thigh,,
qelk,verb,qEk,thelk,θelk,"answer, reply",,
qelp,noun,qEp,thelp,θelp,protein,,
Qels,noun,QEs,dthels,ðels,mania,,
qels,noun,qEs,thels,θels,spice,,
qelX,noun,qEX,thelzh,θelž,robot,,
qeN,noun,qeN,thehng,θeŋ,bill (paper money),,
qen,noun,qen,thehn,θen,"soccer, soccer ball",,
qeq,noun,qeq,thehth,θeθ,she-hermaphrodite,,
Qer,verb,QP,dthair,ðār,"evaluate, judge",,
qerf,noun,qPf,thairf,θārf,"brand, tattoo",,
QerJ,noun,QPJ,dthairj,ðārj,ape,zoology,science
qerj,noun,qPj,thairch,θārč,basket,,
qerJ,noun,qPJ,thairj,θārj,mold (for producing copies),,
Qerj,noun,QPj,dthairch,ðārč,pan,,
qerk,noun,qPk,thairk,θārk,glass (material),,
Qerk,verb,QPk,dthairk,ðārk,increase,,
Qerm,noun,QPm,dthairm,ðārm,trap,,
Qerq,noun,QPq,dthairth,ðārθ,humility,,
QerQ,verb,QPQ,dthairdth,ðārð,procrastinate,,
qerq,noun,qPq,thairth,θārθ,sensor,,
qerQ,noun,qPQ,thairdth,θārð,storm,,
QerT,verb,QPT,dthairts,ðārṣ,read,,
QeT,verb,QeT,dthehts,ðeṣ,participate-in,,
qex,verb,qex,thehsh,θeš,"compose, design, plan",,
qeX,noun,qeX,thehzh,θež,femininity,,
qeyH,verb,qFH,thaykhh,θāħ,"deal, distribute, scatter",,
qeyk,noun,qFk,thayk,θāk,beer,food,
qeyv,verb,qFv,thayv,θāv,"deposit, drop",,
Qeyx,noun,QFx,dthaysh,ðāš,beginning,,
Qgl,noun,QG,dthohl,ðōl,season,,
Qglf,noun,QGf,dthohlf,ðōlf,river,,
Qglj,noun,QGj,dthohlch,ðōlč,cut (on a surface),,
qglJ,noun,qGJ,thohlj,θōlj,rectangle,,
qglx,verb,qGx,thohlsh,θōlš,"anticipate, expect",,
qgrD,noun,qbD,thoardz,θōrẓ,ribbon,,
qgrf,noun,qbf,thoarf,θōrf,sterility,,
qgrk,numerical term,qbk,thoark,θōrk,twelve,numerical,mathematics
Qgrk,noun,Qbk,dthoark,ðōrk,finger,,
Qgrn,noun,Qbn,dthoarn,ðōrn,colon,,
QgrN,verb,QbN,dthoarng,ðōrŋ,search-for,,
qgrX,noun,qbX,thoarzh,θōrž,hood,,
qgrz,noun,qbz,thoarz,θōrz,birthday,,
qgw,numerical term,qg,thohw,θō,fifteen,numerical,mathematics
Qgw,noun,Qg,dthohw,ðō,"equitability, fairness",,
QgwD,noun,QgD,dthohwdz,ðōẓ,manta ray,,
qgwH,noun,qgH,thohwkhh,θōħ,androgyne-herm,sexuality,social
qgwJ,verb,qgJ,thohwj,θōj,"invade, raid",,
qgwn,noun,qgn,thohwn,θōn,intersex,,
qgwnXr,compound noun,qgnXr,thohwn-zhur,θōn-žur,sexless-ness,,
qgwp,noun,qgp,thohwp,θōp,pizza,,
QgwX,noun,QgX,dthohwzh,ðōž,pipe,,
qgwz,verb,qgz,thohwz,θōz,immerse,,
qgy,noun,qB,thoi,θoi,December,,
QgyD,verb,QBD,dthoidz,ðoiẓ,confide,,
qgyf,verb,qBf,thoif,θoif,spray,,
qgyT,verb,qBT,thoits,θoiṣ,encrypt,,
qi,noun,qi,thih,θi,glowstick,,
qiD,noun,qiD,thihdz,θiẓ,rhea,,
Qif,noun,Qif,dthihf,ðif,leg (locomotor),,
Qif kw,compound noun,Qif kw,dthihf kooh,ðif kü,biped,,
Qif kwx,compound noun,Qif kwx,dthihf koohsh,ðif küš,quadruped,,
qil,noun,qI,thil,θil,rolling,,
QilH,noun,QIH,dthilkhh,ðilħ,orc,,
Qilj,noun,QIj,dthilch,ðilč,cork,,
qilJ,noun,qIJ,thilj,θilj,rave,,
Qilm,noun,QIm,dthilm,ðilm,lying-prone,,
qiln,noun,qIn,thiln,θiln,katydid,,
qilq,verb,qIq,thilth,θilθ,signal,,
Qilq,noun,QIq,dthilth,ðilθ,teat,,
qils,verb,qIs,thils,θils,"contain, surround",,
Qils,noun,QIs,dthils,ðils,standing,,
QilX,noun,QIX,dthilzh,ðilž,entropy,,
qip,noun,qip,thihp,θip,initiation,,
qir,noun,qV,theer,θēr,panties,,
QirJ,noun,QVJ,dtheerj,ðērj,"counter, desk",,
qirp,verb,qVp,theerp,θērp,bluff,,
qirx,noun,qVx,theersh,θērš,body,anatomy,science
qis,noun,qis,thihs,θis,stuffing,,
qiT,noun,qiT,thihts,θiṣ,mite,,
qix,noun,qix,thihsh,θiš,"chair, seat",bathroom,home
Qix,verb,Qix,dthihsh,ðiš,"greet, welcome",,
qo,noun,qo,tho,θo,"bashfulness, shyness",,
Qoj,noun,Qoj,dthoch,ðoč,garlic,,
qol,noun,qO,thall,θol,green,,
qol su feJ,compound noun,qO su feJ,thall s'fehj,θol sᵘfej,forest green,,
qol su nol,compound noun,qO su nO,thall s'nall,θol sᵘnol,chartreuse,colors,
qol su saw,compound noun,qO su sC,thall s'sauw,θol sᵘsow,emerald (color),,
qol su zcn,compound noun,qO su zcn,thall s'zuon,θol sᵘzøn,turquoise (color),,
qolj,noun,qOj,thallch,θolč,nail (hammering spike),,
qolJ,noun,qOJ,thallj,θolj,solvent,,
qolN,verb,qON,thallng,θolŋ,"enjoy, like",,
qoln,noun,qOn,thalln,θoln,tea,,
qolp,verb,qOp,thallp,θolp,dissolve,,
Qolp,verb,QOp,dthallp,ðolp,"dock, nestle",,
qolQ,noun,qOQ,thalldth,θolð,warthog,,
Qols,noun,QOs,dthalls,ðols,pastry,,
qolv,noun,qOv,thallv,θolv,"dusk, nightfall, twilight",,
Qolz,noun,QOz,dthallz,ðolz,cake,food,
Qon,noun,Qon,dthon,ðon,bedroom,bedroom,home
qoN,noun,qoN,thong,θoŋ,armor,,
QoN,noun,QoN,dthong,ðoŋ,daisy,,
qon,noun,qon,thon,θon,he-hermaphrodite,,
qoq,verb,qoq,thoth,θoθ,"count, tally",,
qorf,noun,qSf,tharf,θarf,power (social),,
Qorf,noun,QSf,dtharf,ðarf,thickness,,
QorJ,noun,QSJ,dtharj,ðarj,scab,,
qork,verb,qSk,thark,θark,isolate,,
qors,noun,qSs,thars,θars,freckle,,
QorT,noun,QST,dtharts,ðarṣ,electromagnetism,,
qorz,noun,qSz,tharz,θarz,cold (sickness),,
Qox,noun,Qox,dthosh,ðoš,shorts,,
qoy,noun,qZ,thii,θī,"feminine beauty, prettiness",,
QoyD,noun,QZD,dthiidz,ðīẓ,pelt,,
qoyD,noun,qZD,thiidz,θīẓ,screw,,
Qoyf,verb,QZf,dthiif,ðīf,"format, organize, sort",,
qoyH,noun,qZH,thiikhh,θīħ,nose,,
qoyj,verb,qZj,thiich,θīč,lie,,
qoyk,verb,qZk,thiik,θīk,"hope, wish",,
qoyq,noun,qZq,thiith,θīθ,lace,,
qoyv,noun,qZv,thiiv,θīv,"well (physical source), father (cq.)",,
qoyWul,compound noun,qZWU,thii-wul,θī-wul,sissy,,
qoyx,noun,qZx,thiish,θīš,air,physics,science
Qr,numerical term,Qr,dthur,ður,radix-exponent,numerical,mathematics
qr,verb,qr,thur,θur,taste,,
qrD,noun,qrD,thurdz,θurẓ,air conditioner,,
Qrf,noun,Qrf,dthurf,ðurf,cougar,,
qrf,noun,qrf,thurf,θurf,upper-arm,,
qrH,verb,qrH,thurkhh,θurħ,contrast,,
QrH,noun,QrH,dthurkhh,ðurħ,skeleton,,
QrJ,noun,QrJ,dthurj,ðurj,areola,anatomy,science
qrJ,noun,qrJ,thurj,θurj,"sauce, syrup",,
qrj,verb,qrj,thurch,θurč,taste-like,,
Qrj,noun,Qrj,dthurch,ðurč,toad,,
Qrm,verb,Qrm,dthurm,ðurm,"etch, scratch",,
qrN,noun,qrN,thurng,θurŋ,"injury, wound",,
qrn,verb,qrn,thurn,θurn,"play-act, pretend, role-play",,
Qrn,noun,Qrn,dthurn,ðurn,surgery,,
Qrp,verb,Qrp,dthurp,ðurp,accelerate,,
qrp,noun,qrp,thurp,θurp,mercy,,
qrq,verb,qrq,thurth,θurθ,cool,,
QrX,noun,QrX,dthurzh,ðurž,iguana,,
Qu,noun prefix,Qu,dthuh,ðu,a,noun prefix,grammar
qu,verb prefix,qu,thuh,θu,present,verb prefix,grammar
QuJ,noun,QuJ,dthuhj,ðuj,circuit,,
quk,verb prefix,quk,thuhk,θuk,present-ceasing,verb prefix,grammar
qukly,compound verb,qukly,thuhk-lee,θuk-lē,"cease, stop (present tense)",,
Qul,noun prefix,QU,dthul,ðul,some-of,noun prefix,grammar
qulj,verb,qUj,thulch,θulč,"balance, mediate, moderate",,
qulJ,noun,qUJ,thulj,θulj,crib,,
qulk,verb,qUk,thulk,θulk,"batter, slam",,
qulm,noun,qUm,thulm,θulm,snow,,
Quln,noun,QUn,dthuln,ðuln,instrument (brass / woodwind) ,,
qulN,noun,qUN,thulng,θulŋ,sauna,,
Qulp,noun,QUp,dthulp,ðulp,health,,
qulq,noun,qUq,thulth,θulθ,college,,
Qulq,verb,QUq,dthulth,ðulθ,"slide-against, slip",,
qulQ,noun,qUQ,thuldth,θulð,walking,,
qulX,verb,qUX,thulzh,θulž,"fondle, grasp",,
Qulx,noun,QUx,dthulsh,ðulš,porpoise,,
qulz,noun,qUz,thulz,θulz,antelope,zoology,science
qum,noun,qum,thuhm,θum,magenta,,
qum su feJ,compound noun,qum su feJ,thuhm s'fehj,θum sᵘfej,grape (color),,
qum su saw,compound noun,qum su sC,thuhm s'sauw,θum sᵘsow,pink,,
quN,verb prefix,quN,thuhng,θuŋ,present-again,verb prefix,grammar
quNly,compound verb,quNly,thuhng-lee,θuŋ-lē,repeat (present tense),,
QuRw,compound noun,QuRw,dth'rooh,ðᵘrü,first in order (etc.),,
QuRwJw,compound noun,QuRwJw,dth'rooh-jooh,ðᵘrü-jü,last in order (etc.),,
qus,noun,qus,thuhs,θus,metal,,
quT,verb prefix,quT,thuhts,θuṣ,present-repeatedly,verb prefix,grammar
Quv,noun,Quv,dthuhv,ðuv,elevator,,
quv,noun,quv,thuhv,θuv,necklace,,
qux,verb prefix,qux,thuhsh,θuš,present-continuously,verb prefix,grammar
Qux,noun,Qux,dthuhsh,ðuš,"master, mistress",,
quX,noun,quX,thuhzh,θuž,"poison, toxicity",,
quxly,compound verb,quxly,thuhsh-lee,θuš-lē,"continue, persist (pres. tense)",,
quz,verb prefix,quz,thuhz,θuz,present-beginning,verb prefix,grammar
Quz,noun,Quz,dthuhz,ðuz,uvula,,
quzly,compound verb,quzly,thuhz-lee,θuz-lē,"begin, commence (pres. tense)",,
Qw,preposition,Qw,dthooh,ðü,more-than,preposition,grammar
qw,verb,qw,thooh,θü,thank,,
Qwj,preposition,Qwj,dthoohch,ðüč,less-than,preposition,grammar
qwj,verb,qwj,thoohch,θüč,infect,,
qwv,noun,qwv,thoohv,θüv,fabric,,
qwx,numerical term,qwx,thoohsh,θüš,six,numerical,mathematics
Qwx,noun,Qwx,dthoohsh,ðüš,wart,,
QwXr,compound preposition,QwXr,dthooh-zhur,ðü-žur,equal-to (in quantity or quality),,
Qy,numerical term,Qy,dthee,ðē,radix,numerical,mathematics
qy,numerical term,qy,thee,θē,three,numerical,mathematics
qyJ,noun,qyJ,theej,θēj,"civilization, society",,
qyj,verb,qyj,theech,θēč,race-against,,
Qyj,verb,Qyj,dtheech,ðēč,receive,,
qym,noun,qym,theem,θēm,lifestyle,,
qyN,verb,qyN,theeng,θēŋ,"penetrate, pierce, stab",,
qyn,noun,qyn,theen,θēn,sibling,,
qyq,noun,qyq,theeth,θēθ,"expertise, skill",,
qyQ,verb,qyQ,theedth,θēð,fry,,
qys,noun,qys,thees,θēs,midnight,,
qyT,noun,qyT,theets,θēṣ,piercing,,
qyx,numerical term,qyx,theesh,θēš,nine,numerical,mathematics
qyX,noun,qyX,theezh,θēž,drug (recreational),,
qyz,noun,qyz,theez,θēz,drawing,,
Rak,noun,Rak,rak,rak,gun,,
Ralf,verb,RAf,ralf,ralf,"display, exhibit",,
Ralq,noun,RAq,ralth,ralθ,arctic-area,geography,
Ralx,noun,RAx,ralsh,ralš,dolphin,,
RalX,verb,RAX,ralzh,ralž,"scream, shout",,
Raq,noun,Raq,rath,raθ,oat,,
Ras,verb,Ras,ras,ras,vacillate (between),,
Raw,verb suffix,RC,rauw,row,prepared,verb suffix,grammar
Rawf,noun,RCf,rauwf,rowf,mineral,,
Rawz,noun,RCz,rauwz,rowz,nut (from tree),,
Raz,noun,Raz,raz,raz,vanilla,,
Rc,verb,Rc,ruo,rø,"dry, strain",,
Rcf,noun,Rcf,ruof,røf,dog,,
Rcj,noun,Rcj,ruoch,røč,cushion,,
RcJ,noun,RcJ,ruoj,røj,partner,,
Rcp,noun,Rcp,ruop,røp,Spring (season),,
ReJ,noun,ReJ,rehj,rej,August,calendar system,proper nouns
Rek,noun,Rek,rehk,rek,emu,,
Relj,verb,REj,relch,relč,thirst-for,food,
RelJ,noun,REJ,relj,relj,ovary,,
Relm,noun,REm,relm,relm,tree,,
Reln,noun,REn,reln,reln,distance,,
Rels,noun,REs,rels,rels,candle,,
RelT,noun,RET,relts,relṣ,Velcro,,
Relv,noun,REv,relv,relv,cloth,,
Relz,noun,REz,relz,relz,jet engine,,
